time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1620148740046167000,0.0231669921875,-1.5623577373828577,0.2151761739439634,0.6704495707317364,-0.5165581477215961,-0.6949279581383013,0.14584858431709216,-0.10368129614437813
1620148740056171300,0.033171142578125,-1.5483328327654955,0.2138608868152584,0.6656514032987662,-0.516791355272083,-0.6995185644269137,0.1478021090792225,-0.1026099234911996
1620148740066175000,0.043175048828125,-1.534704911086679,0.2118569473096617,0.6611851353760669,-0.5160360640853667,-0.7039411135444826,0.14972544065597412,-0.10044598064572045
1620148740076179000,0.053178955078125,-1.5218471991103049,0.2091113898291849,0.6572084304856384,-0.5141202224513104,-0.7080878057399685,0.1515293008133785,-0.09711838022210247
1620148740086183200,0.06318310546875,-1.5098305329062816,0.20591372426997087,0.6536562029334567,-0.511792130932286,-0.7118948812668283,0.15342326799363265,-0.09273858602190235
1620148740096187100,0.073187255859375,-1.4984567339947525,0.20268244353488998,0.6503230193704462,-0.5101163707396801,-0.715368386691573,0.1557169235125742,-0.08756448333873981
1620148740106192100,0.083192138671875,-1.4870148601129844,0.1992753136723051,0.6469824384636369,-0.5090214127839721,-0.7187333031734343,0.1585099023806412,-0.08143534203538436
1620148740116196400,0.0931962890625,-1.474309237176257,0.19565193247526466,0.6431817720638527,-0.5092951405636326,-0.7222689332318887,0.16237338759547887,-0.07382245287413364
1620148740126200300,0.103200439453125,-1.4590532352826426,0.19170947680307396,0.6384403960384426,-0.5118901191170107,-0.7262318122949685,0.16801400027047497,-0.06396079330118407
1620148740136204300,0.113204345703125,-1.4405811763972398,0.18721989671535477,0.6325429345883893,-0.5170171740422765,-0.7307291261221973,0.17570706302225045,-0.051352107103377675
1620148740146208300,0.123208251953125,-1.4192268297967925,0.18255163125331283,0.6254835970235854,-0.5256735536486197,-0.7355123272486885,0.1856522526293044,-0.03630104493980087
1620148740156212200,0.133212158203125,-1.3964647746214855,0.17875628358832854,0.6175257456767609,-0.5401018701401749,-0.7398696096603443,0.1982448320503458,-0.019671376706898964
1620148740166216400,0.143216552734375,-1.373588344424536,0.1764810254999012,0.6090062495041918,-0.5613053043153993,-0.7432299434953132,0.2134831624624265,-0.0023068070593909684
1620148740176221400,0.153221435546875,-1.350938106902799,0.1752151205067584,0.6002217417242989,-0.5866482303835986,-0.7457130966197878,0.23009886586876416,0.014900815314883426
1620148740186225400,0.163225341796875,-1.3287791299120113,0.1743980250869399,0.5914470802718901,-0.6121995212012457,-0.7477936548425114,0.2461309431163219,0.030324029367413855
1620148740196229000,0.17322900390625,-1.3084767519486866,0.17420727869286756,0.5831845991494883,-0.6350408065701056,-0.749711993816858,0.25976809699964193,0.04178709465470109
1620148740206233300,0.1832333984375,-1.2915200532143702,0.1745447398378074,0.5760738151546296,-0.6517205928133791,-0.7518025689464886,0.2691952278072335,0.04772439045071985
1620148740216237300,0.1932373046875,-1.2763628546951011,0.17472575754965236,0.5696931460583717,-0.6620120405034835,-0.7545487727428707,0.2749125203765204,0.049573647826690576
1620148740226241300,0.2032412109375,-1.2613526168715623,0.17475136884665488,0.5633671236602502,-0.6690622896184407,-0.7578541442033079,0.2788128150704718,0.04929581217208624
1620148740236246300,0.213246337890625,-1.2457210131247038,0.17520974036109682,0.5565981258793516,-0.6778476331917161,-0.7610501434221639,0.2833774786473069,0.04878730262853947
1620148740246250500,0.22325048828125,-1.2280002252874542,0.17646465333493228,0.5486401697916928,-0.6927373993393123,-0.7637218495265505,0.29083182780272193,0.04960456436605609
1620148740256254500,0.23325439453125,-1.2073259600347757,0.17828222013392392,0.5391639532372451,-0.7144091876710355,-0.7658508732610068,0.30164576444149366,0.0522215900127304
1620148740266258200,0.243258056640625,-1.1839084585598896,0.17987690158308328,0.5284788826774269,-0.7399530077764902,-0.7677068004355221,0.3146121359038405,0.05637615731865812
1620148740276262400,0.253262451171875,-1.1595360366946343,0.18063617562372997,0.5175529201890202,-0.764856668891542,-0.769549774983822,0.32757094973585316,0.06109154024175494
1620148740286266400,0.263266357421875,-1.1355755958909308,0.18054493257845775,0.5069975489512776,-0.786412242355969,-0.7716197046770852,0.3390573550854423,0.0652246781221804
1620148740296271400,0.273271240234375,-1.1120610682173708,0.17986558934309074,0.49675255767254034,-0.8052447507172678,-0.7738781715811647,0.34928179635544954,0.0686791230207797
1620148740306275300,0.283275390625,-1.088702649966015,0.17871140176508493,0.4866630328317213,-0.8222826530153661,-0.7762467775662701,0.3586952330246209,0.07174064279384107
1620148740316279300,0.293279296875,-1.0648747923467965,0.17738670721308603,0.47632036879439293,-0.8376173973732307,-0.7789949917067617,0.36717781929429244,0.07348796276535263
1620148740326283300,0.303283203125,-1.0400237766197404,0.17661141951890535,0.4651750309126484,-0.8535777129817621,-0.7819051460631464,0.37555945587123946,0.07328057647002933
1620148740336287200,0.313287353515625,-1.0139752875549919,0.17657245796447313,0.45305684617886566,-0.8726471886036232,-0.7844162343230887,0.3850362407352294,0.071936030949468
1620148740346291200,0.323291259765625,-0.9881062922339475,0.17643412601506453,0.44095918287503677,-0.894484328669198,-0.7859439401120442,0.3958763862314783,0.07185781546452955
1620148740356295400,0.33329541015625,-0.9639174030038226,0.17550937629673452,0.4299338796344335,-0.918198939419786,-0.7860860035989059,0.4079487189903796,0.0749210936206451
1620148740366300400,0.343300537109375,-0.9427001862142487,0.1736874401580078,0.42072666515315255,-0.9431526024900648,-0.7846198988480283,0.42094344207290135,0.08173800399462547
