time,seconds_elapsed,z,y,x
1620232220422380500,0.020380615234375,1.0558218893408775,1.8143954008147118,-1.165803774538636
1620232220432384500,0.030384521484375,1.0733026009738444,1.9710060584574938,-2.0037799085512757
1620232220442388500,0.040388427734375,0.8036568080425261,3.2538933668926355,-1.588862013593316
1620232220452392700,0.050392822265625,0.41480186736285685,3.5717157462328673,-1.4205065576210618
1620232220462396200,0.060396240234375,0.2597533444702625,4.238034167857468,-0.7784358575463295
1620232220472400100,0.070400146484375,0.5733294645428657,5.843613799756765,0.27709435537159444
1620232220482404400,0.080404296875,0.8480652740895748,7.215368601429462,1.4852297896832227
1620232220492407000,0.090406982421875,1.2137357385367153,8.222540149369836,2.43516641549021
1620232220502411000,0.100410888671875,1.4364502689450978,8.151503788638115,2.260575864520669
1620232220512415200,0.110415283203125,1.3589748150765895,7.367789698427915,1.3641425731033086
1620232220522419200,0.120419189453125,1.200511515304446,7.2425015230268235,0.9220195680946112
1620232220532423000,0.1304228515625,1.1241314554572104,7.662688006037473,0.8133949427247047
1620232220542427100,0.14042724609375,1.177001460379362,7.222358898708224,1.3167489537656307
1620232220552431000,0.15043115234375,1.74241942114532,6.505449230748415,1.7870266246348618
1620232220562434300,0.160434326171875,3.0961516593933105,6.100554424893856,2.1893355056494475
1620232220572438300,0.170438232421875,4.301427028098702,5.433444852891564,3.68525210904181
1620232220582442000,0.18044189453125,4.465201878282428,5.016346983546018,4.835163317921757
1620232220592446200,0.1904462890625,3.3494273322820662,5.155112480157613,4.2036978907525535
1620232220602450200,0.2004501953125,1.3408733411967753,4.676970651784539,2.7176047622382637
1620232220612454100,0.2104541015625,-0.9548638530761003,3.8521319395035505,1.323583768221736
1620232220622458000,0.2204580078125,-2.5017267998516557,2.9814596968084572,0.5667109231859445
1620232220632461000,0.2304609375,-2.4021605102062225,1.2254109787613152,0.44996611972451206
1620232220642465000,0.240465087890625,-1.3286381290018558,-0.1669204547330737,0.46573009056746956
1620232220652469200,0.25046923828125,-0.537162757140398,-0.8331471064209938,0.43680853198766706
1620232220662473200,0.26047314453125,-0.6383230379790067,-1.5238476896300912,0.31294775904119015
1620232220672477000,0.270476806640625,-1.6610028284355998,-2.653360545864701,0.006728431472182273
1620232220682481200,0.280481201171875,-3.2298762392282483,-3.6019863813340662,-0.35996377723813056
1620232220692485000,0.290485107421875,-4.696702357214689,-4.438762784168124,-1.0339853205859662
1620232220702489000,0.300489013671875,-5.34583437397778,-5.267137853881716,-2.9816712937325236
1620232220712492300,0.3104921875,-5.047696061533689,-6.366068817108869,-5.650069834253191
1620232220722496000,0.32049609375,-4.337314626298845,-7.84591223757863,-7.330365684440731
1620232220732500000,0.3305,-2.857459807652235,-8.297177164942026,-7.536789005261659
